,self,id,description,iconUrl,name,untranslatedName,subtask,avatarId,hierarchyLevel
Support Request (Deprecated),https://ecosystem.atlassian.net/rest/api/2/issuetype/17107,17107,This request type is used to help with request type transitioning.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15308?size=medium,Support Request (Deprecated),Support Request (Deprecated),False,15308.0,0
ADDON-1229,https://ecosystem.atlassian.net/rest/api/2/issuetype/14259,14259,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,ADDON-1229,ADDON-1229,False,15300.0,0
Papercut,https://ecosystem.atlassian.net/rest/api/2/issuetype/14226,14226,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15306?size=medium,Papercut,Papercut,False,15306.0,0
User Testing Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/12300,12300,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,User Testing Request,User Testing Request,False,15300.0,0
Project,https://ecosystem.atlassian.net/rest/api/2/issuetype/18415,18415,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15307?size=medium,Project,Project,False,15307.0,1
Request to join the Marketplace Bug Bounty program,https://ecosystem.atlassian.net/rest/api/2/issuetype/13616,13616,Use this form to request to join the Marketplace Bug Bounty program,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Request to join the Marketplace Bug Bounty program,Request to join the Marketplace Bug Bounty program,False,15300.0,0
HOT-94686 ,https://ecosystem.atlassian.net/rest/api/2/issuetype/13883,13883,Contact/Issue management,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15303?size=medium,HOT-94686 ,HOT-94686 ,False,15303.0,0
Ops Improvement,https://ecosystem.atlassian.net/rest/api/2/issuetype/14212,14212,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15310?size=medium,Ops Improvement,Ops Improvement,False,15310.0,0
Ecoscanner Vulnerability,https://ecosystem.atlassian.net/rest/api/2/issuetype/13792,13792,Issues detected by the Ecoscanner Security Requirements scanner workflow (EcoSec).,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Ecoscanner Vulnerability,Ecoscanner Vulnerability,False,15300.0,0
do not use,https://ecosystem.atlassian.net/rest/api/2/issuetype/14202,14202,"test issue type, will be delete after test",https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,do not use,do not use,False,15300.0,0
Billing and Licensing,https://ecosystem.atlassian.net/rest/api/2/issuetype/14267,14267,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15314?size=medium,Billing and Licensing,Billing and Licensing,False,15314.0,0
CMA Migration Path,https://ecosystem.atlassian.net/rest/api/2/issuetype/13898,13898,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15316?size=medium,CMA Migration Path,CMA Migration Path,True,15316.0,-1
Bug,https://ecosystem.atlassian.net/rest/api/2/issuetype/1,1,A problem which impairs or prevents the functions of the product.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15303?size=medium,Bug,Bug,False,15303.0,0
[System] Service request,https://ecosystem.atlassian.net/rest/api/2/issuetype/14119,14119,A request that follows ITSM workflows.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/35922?size=medium,[System] Service request,[System] Service request,False,35922.0,0
Ops Investigation,https://ecosystem.atlassian.net/rest/api/2/issuetype/14130,14130,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Ops Investigation,Ops Investigation,False,15300.0,0
Forge Workstream,https://ecosystem.atlassian.net/rest/api/2/issuetype/14381,14381,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Forge Workstream,Forge Workstream,False,15300.0,3
Documentation Sub-Task,https://ecosystem.atlassian.net/rest/api/2/issuetype/25,25,,https://ecosystem.atlassian.net/images/icons/issuetypes/documentation.png,Documentation Sub-Task,Documentation Sub-Task,True,,-1
Support,https://ecosystem.atlassian.net/rest/api/2/issuetype/11900,11900,For customer support issues. Created by JIRA Service Desk.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/34800?size=medium,Support,Support,False,34800.0,0
Enterprise App Approval Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/18893,18893,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15309?size=medium,Enterprise App Approval Request,Enterprise App Approval Request,False,15309.0,0
New,https://ecosystem.atlassian.net/rest/api/2/issuetype/13346,13346,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15311?size=medium,New,New,False,15311.0,0
Fixes and bugs,https://ecosystem.atlassian.net/rest/api/2/issuetype/12700,12700,A problem which impairs or prevents the functions of the product.,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Fixes and bugs,Fixes and bugs,False,15300.0,0
Disturbed Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/13852,13852,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/25800?size=medium,Disturbed Request,Disturbed Request,False,25800.0,0
Spike,https://ecosystem.atlassian.net/rest/api/2/issuetype/12500,12500,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Spike,Spike,False,15300.0,0
New Feature,https://ecosystem.atlassian.net/rest/api/2/issuetype/2,2,"A new feature of the product, which has yet to be developed.",https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15311?size=medium,New Feature,New Feature,False,15311.0,0
DC App Vulnerability,https://ecosystem.atlassian.net/rest/api/2/issuetype/14236,14236,for the dc-app-security-scanner,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,DC App Vulnerability,DC App Vulnerability,False,15300.0,0
Approval Subtask,https://ecosystem.atlassian.net/rest/api/2/issuetype/23,23,Subtask for plugins which need Marketplace Approval,https://ecosystem.atlassian.net/images/icons/issuetypes/requirement.png,Approval Subtask,Approval Subtask,True,,-1
DevHelp Live Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/13149,13149,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,DevHelp Live Request,DevHelp Live Request,False,15300.0,0
General request,https://ecosystem.atlassian.net/rest/api/2/issuetype/15645,15645,For general requests,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/37022?size=medium,General request,General request,False,37022.0,0
Access Approval,https://ecosystem.atlassian.net/rest/api/2/issuetype/12000,12000,approval issue for access to Ecosystem subsystems,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15318?size=medium,Access Approval,Access Approval,False,15318.0,0
Pentest Report,https://ecosystem.atlassian.net/rest/api/2/issuetype/18938,18938,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15304?size=medium,Pentest Report,Pentest Report,False,15304.0,0
Reach out,https://ecosystem.atlassian.net/rest/api/2/issuetype/14161,14161,Issue type used to represent a Partner reach out,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15316?size=medium,Reach out,Reach out,True,15316.0,-1
Technical task,https://ecosystem.atlassian.net/rest/api/2/issuetype/28,28,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15316?size=medium,Technical task,Technical task,True,15316.0,-1
JavaDoc Feedback,https://ecosystem.atlassian.net/rest/api/2/issuetype/19,19,User feedback for generated Javadoc on developer.atlassian.com.,https://ecosystem.atlassian.net/images/icons/issuetypes/exclamation.png,JavaDoc Feedback,JavaDoc Feedback,False,,0
Suggestion,https://ecosystem.atlassian.net/rest/api/2/issuetype/11500,11500,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Suggestion,Suggestion,False,15300.0,0
Concession,https://ecosystem.atlassian.net/rest/api/2/issuetype/13000,13000,Concession,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15314?size=medium,Concession,Concession,False,15314.0,0
Standard Operating Procedure,https://ecosystem.atlassian.net/rest/api/2/issuetype/11701,11701,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Standard Operating Procedure,Standard Operating Procedure,False,15300.0,0
Request to review an existing Marketplace Bug Bounty program,https://ecosystem.atlassian.net/rest/api/2/issuetype/13705,13705,"Request type for partners who have a live and current bug bounty program, and would like to ask for guidance or help from the Bugcrowd Team to drive more activity, or to achieve a specific goal.
",https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Request to review an existing Marketplace Bug Bounty program,Request to review an existing Marketplace Bug Bounty program,False,15300.0,0
Pricing Change,https://ecosystem.atlassian.net/rest/api/2/issuetype/11000,11000,A Marketplace pricing change request,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15314?size=medium,Pricing Change,Pricing Change,False,15314.0,0
Comms Ask,https://ecosystem.atlassian.net/rest/api/2/issuetype/18391,18391,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Comms Ask,Comms Ask,False,15300.0,0
Parity,https://ecosystem.atlassian.net/rest/api/2/issuetype/13896,13896,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15316?size=medium,Parity,Parity,True,15316.0,-1
AUG Sponsor,https://ecosystem.atlassian.net/rest/api/2/issuetype/10300,10300,Issue type used in Developer Relations project for external requests going to AUG/community team,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15314?size=medium,AUG Sponsor,AUG Sponsor,False,15314.0,0
Partner Program,https://ecosystem.atlassian.net/rest/api/2/issuetype/13205,13205,Issue type for Marketplace Partner programs,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15313?size=medium,Partner Program,Partner Program,False,15313.0,0
Tracking,https://ecosystem.atlassian.net/rest/api/2/issuetype/13136,13136,Placeholder for tracking an issue being completed by another team,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/25800?size=medium,Tracking,Tracking,False,25800.0,0
Documentation,https://ecosystem.atlassian.net/rest/api/2/issuetype/8,8,Documentation request,https://ecosystem.atlassian.net/images/icons/issuetypes/documentation.png,Documentation,Documentation,False,,0
Trello Support Request,https://ecosystem.atlassian.net/rest/api/2/issuetype/13947,13947,All things Trello,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Trello Support Request,Trello Support Request,False,15300.0,0
Outreach,https://ecosystem.atlassian.net/rest/api/2/issuetype/14170,14170,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/15300?size=medium,Outreach,Outreach,False,15300.0,0
LEAP,https://ecosystem.atlassian.net/rest/api/2/issuetype/13833,13833,,https://ecosystem.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/25801?size=medium,LEAP,LEAP,False,25801.0,0
